ActivityIdentifier,ActivityStartDate,MonitoringLocationIdentifier,HydrologicCondition,HydrologicEvent,Measure,SampleAquifer
nwisco.01.99306915,1993-03-18,USGS-392535107224600,Not applicable,Not applicable,5.1,
nwisco.01.00506124,2005-03-25,USGS-392535107224600,Not applicable,Not applicable,5.2,
nwisco.01.00007490,2000-03-28,USGS-391050106550000,Not applicable,Not applicable,5.2,
nwisco.01.00306641,2003-03-25,USGS-392535107224600,Not applicable,Not applicable,5.2,
nwisco.01.99510916,1995-03-29,USGS-392535107224600,Not applicable,Not applicable,5.2,
nwisco.01.00405974,2004-04-02,USGS-392535107224600,Not applicable,Not applicable,5.3,
nwisco.01.99708939,1997-04-01,USGS-392535107224600,Not applicable,Not applicable,5.3,
nwisco.01.01205387,2012-03-19,USGS-392535107224600,Not applicable,Not applicable,5.4,
nwisco.01.01007017,2010-03-22,USGS-392535107224600,Not applicable,Not applicable,5.4,
nwisco.01.99607625,1996-04-02,USGS-392535107224600,Not applicable,Not applicable,5.5,
nwisco.01.01306678,2013-03-18,USGS-392535107224600,Not applicable,Not applicable,5.5,
nwisco.01.00805030,2008-04-04,USGS-392535107224600,Not applicable,Not applicable,5.6,
nwisco.01.00704966,2007-03-29,USGS-392535107224600,Not applicable,Not applicable,5.7,
nwisco.01.01404000,2014-03-17,USGS-392535107224600,Not determined,Routine sample,5.9,
nwisco.01.99907647,1999-04-06,USGS-392535107224600,Not applicable,Not applicable,6.5,
nwisco.01.99700377,1996-11-12,USGS-09073300,"Stable, normal stage",Routine sample,7.1,
nwisco.01.99703785,1997-08-20,USGS-09073300,"Stable, normal stage",Routine sample,7.4,
nwisco.01.98201929,1982-07-08,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.00200920,2001-10-10,USGS-09073300,"Stable, low stage",Routine sample,7.5,
nwisco.01.98403295,1984-04-27,USGS-09085000,"Stable, normal stage",Routine sample,7.6,
nwisco.01.99701964,1997-05-22,USGS-09073300,"Stable, high stage",Snowmelt,7.6,
nwisco.01.00002141,2000-05-05,USGS-09073300,Rising stage,Snowmelt,7.6,
nwisco.01.98403297,1984-05-10,USGS-09085000,Rising stage,Snowmelt,7.7,
nwisco.01.99803787,1998-09-03,USGS-09073400,"Stable, low stage",Routine sample,7.7,
nwisco.01.98403317,1984-08-29,USGS-09085000,"Stable, normal stage",Routine sample,7.7,
nwisco.01.98403298,1984-05-17,USGS-09085000,Rising stage,Snowmelt,7.7,
nwisco.01.00000846,1999-12-08,USGS-09073300,"Stable, normal stage",Under ice cover,7.7,
nwisco.01.99902093,1999-05-27,USGS-09085000,"Stable, high stage",Snowmelt,7.7,
nwisco.01.98403307,1984-07-03,USGS-09085000,Falling stage,Routine sample,7.7,
nwisco.01.98301705,1983-06-01,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.99802438,1998-06-02,USGS-09073300,Rising stage,Snowmelt,7.7,
nwisco.01.98403308,1984-07-11,USGS-09085000,Falling stage,Routine sample,7.7,
nwisco.01.99902190,1999-06-01,USGS-09073300,"Stable, normal stage",Snowmelt,7.8,
nwisco.01.98403292,1984-04-09,USGS-09085000,Rising stage,Routine sample,7.8,
nwisco.01.98403296,1984-05-01,USGS-09085000,"Stable, normal stage",Routine sample,7.8,
nwisco.01.98403311,1984-07-27,USGS-09085000,Falling stage,Routine sample,7.8,
nwisco.01.98403313,1984-08-10,USGS-09085000,Falling stage,Routine sample,7.8,
nwisco.01.98403314,1984-08-17,USGS-09085000,Falling stage,Routine sample,7.8,
nwisco.01.98403315,1984-08-23,USGS-09085000,Falling stage,Routine sample,7.8,
nwisco.01.98301708,1983-06-23,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.98301709,1983-07-01,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.98301712,1983-07-20,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.98301714,1983-08-04,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.00302333,2003-05-28,USGS-09085000,Rising stage,Snowmelt,7.8,
nwisco.01.98403278,1984-01-12,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.98403280,1984-01-27,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.00304225,2003-09-03,USGS-09073300,"Stable, low stage",Routine sample,7.9,
nwisco.01.99801435,1998-03-13,USGS-09085000,"Stable, low stage",Routine sample,7.9,
nwisco.01.98301701,1983-05-05,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.00102150,2001-04-05,USGS-09073300,Rising stage,Snowmelt,7.9,
nwisco.01.99700361,1996-11-08,USGS-09085000,"Stable, normal stage",Routine sample,7.9,
nwisco.01.00002809,2000-06-05,USGS-09073300,Falling stage,Snowmelt,7.9,
nwisco.01.00103299,2001-05-29,USGS-09081000,Peak stage,Snowmelt,7.9,
nwisco.01.98201941,1982-09-30,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98201937,1982-09-03,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.99902191,1999-06-02,USGS-09081000,"Stable, high stage",Snowmelt,8.0,
nwisco.01.00203174,2002-05-28,USGS-09073300,Rising stage,Snowmelt,8.0,
nwisco.01.98301684,1983-01-06,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98301685,1983-01-13,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98301703,1983-05-19,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98301704,1983-05-26,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98301711,1983-07-15,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.00202578,2002-04-24,USGS-09073300,Rising stage,Snowmelt,8.0,
nwisco.01.00100285,2000-11-07,USGS-09073300,"Stable, low stage",Routine sample,8.0,
nwisco.01.98403282,1984-02-03,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98403289,1984-03-22,USGS-09085000,"Stable, low stage",Routine sample,8.0,
nwisco.01.00001082,2000-01-13,USGS-392110107011300,"Stable, normal stage",Under ice cover,8.0,
nwisco.01.98403319,1984-09-14,USGS-09085000,"Stable, normal stage",Routine sample,8.0,
nwisco.01.98403284,1984-02-16,USGS-09085000,"Stable, normal stage",Routine sample,8.0,
nwisco.01.98403266,1983-11-04,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.00004471,2000-08-21,USGS-09073300,"Stable, normal stage",Routine sample,8.0,
nwisco.01.00001580,2000-03-09,USGS-09073300,"Stable, low stage",Routine sample,8.1,
nwisco.01.98403288,1984-03-15,USGS-09085000,"Stable, low stage",Routine sample,8.1,
nwisco.01.00001293,2000-02-17,USGS-09073300,"Stable, low stage",Routine sample,8.1,
nwisco.01.98403286,1984-03-01,USGS-09085000,"Stable, low stage",Routine sample,8.1,
nwisco.01.99701138,1997-03-07,USGS-09085000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.98403263,1983-10-13,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.00304226,2003-09-04,USGS-09081000,"Stable, low stage",Routine sample,8.1,
nwisco.01.98201925,1982-06-10,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.99901531,1999-04-19,USGS-09085000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.99603334,1996-08-20,USGS-09085000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.00001083,2000-01-13,USGS-392110107011300,"Stable, normal stage",Under ice cover,8.1,
nwisco.01.98403270,1983-11-22,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.98403271,1983-12-02,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.98301697,1983-04-07,USGS-09085000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.98301677,1982-11-18,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.99803763,1998-09-02,USGS-09081000,"Stable, low stage",Routine sample,8.1,
nwisco.01.98201927,1982-06-23,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.98403269,1983-11-14,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.00200923,2001-10-10,USGS-09081000,"Stable, low stage",Routine sample,8.2,
nwisco.01.98201919,1982-05-07,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.98201924,1982-06-04,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.99900297,1998-10-21,USGS-09081000,"Stable, normal stage",Routine sample,8.2,
nwisco.01.98301718,1983-09-02,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.00001223,2000-01-26,USGS-392110107011300,"Stable, normal stage",Routine sample,8.2,
nwisco.01.98301694,1983-03-17,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.98201911,1982-03-11,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.00300087,2002-10-08,USGS-09081000,"Stable, low stage",Routine sample,8.2,
nwisco.01.98201928,1982-07-02,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98403287,1984-03-08,USGS-09085000,"Stable, low stage",Routine sample,8.3,
nwisco.01.98301722,1983-09-28,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98301672,1982-10-14,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98301681,1982-12-16,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.00000941,1999-12-29,USGS-392110107011300,"Stable, normal stage",Under ice cover,8.3,
nwisco.01.00203175,2002-05-28,USGS-09081000,Rising stage,Snowmelt,8.3,
nwisco.01.99803736,1998-09-02,USGS-392847107171100,"Stable, low stage",Routine sample,8.3,
nwisco.01.98201889,1981-10-08,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.00000796,1999-12-03,USGS-09081000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.98201906,1982-02-04,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98201930,1982-07-16,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.98201931,1982-07-22,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.99801039,1998-01-29,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.98201932,1982-07-30,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.98201936,1982-08-26,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.98201899,1981-12-17,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.00203178,2002-05-29,USGS-09085000,Rising stage,Snowmelt,8.4,
nwisco.01.98201895,1981-11-19,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.98301719,1983-09-08,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.00000794,1999-12-02,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.98301691,1983-02-23,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.98301675,1982-11-05,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.98301674,1982-10-27,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.98301671,1982-10-08,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.98201913,1982-03-25,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98201896,1981-11-27,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98201897,1981-12-03,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98201898,1981-12-10,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98201915,1982-04-09,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98201916,1982-04-14,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98201903,1982-01-14,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98201912,1982-03-18,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98201910,1982-03-04,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98301679,1982-12-03,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98201909,1982-02-25,USGS-09085000,Not determined,Routine sample,8.6,
nwisco.01.98201894,1981-11-11,USGS-09085000,Not determined,Routine sample,8.6,
nwisco.01.98201918,1982-04-29,USGS-09085000,Not determined,Routine sample,8.6,
nwisco.01.98201920,1982-05-13,USGS-09085000,Not determined,Routine sample,8.6,
nwisco.01.98201921,1982-05-21,USGS-09085000,Not determined,Routine sample,8.7,
nwisco.01.00102117,2001-04-04,USGS-09081000,Rising stage,Snowmelt,8.7,
nwisco.01.98201904,1982-01-21,USGS-09085000,Not determined,Routine sample,8.7,
nwisco.01.99801434,1998-03-12,USGS-392847107171100,"Stable, low stage",Routine sample,8.8,
nwisco.01.98201902,1982-01-07,USGS-09085000,Not determined,Routine sample,8.8,
nwisco.01.98201908,1982-02-18,USGS-09085000,Not determined,Routine sample,8.9,
nwisco.01.99704221,1997-09-09,USGS-390421106533400,"Stable, normal stage",Routine sample,6.1,
nwisco.01.97802185,1977-12-06,USGS-09073400,Not determined,Routine sample,6.6,
nwisco.01.99704223,1997-09-10,USGS-390810106463000,"Stable, normal stage",Routine sample,6.7,
nwisco.01.97704833,1977-01-03,USGS-391531106525200,Not determined,Routine sample,6.9,
nwisco.01.95900265,1959-05-20,USGS-09085000,Not determined,Routine sample,7.0,
nwisco.01.97805611,1978-08-04,USGS-391755106542401,Not determined,Routine sample,7.0,
nwisco.01.97603416,1976-04-13,USGS-391345106550000,Not determined,Routine sample,7.1,
nwisco.01.96901549,1969-09-25,USGS-09085000,Not determined,Routine sample,7.2,
nwisco.01.96901547,1969-08-26,USGS-09085000,Not determined,Routine sample,7.2,
nwisco.01.96300457,1963-04-26,USGS-09085000,Not determined,Routine sample,7.2,
nwisco.01.99800375,1997-10-22,USGS-09073300,"Stable, normal stage",Routine sample,7.2,
nwisco.01.97601075,1976-04-13,USGS-09073400,Not determined,Routine sample,7.2,
nwisco.01.96100748,1961-07-11,USGS-09085000,Not determined,Routine sample,7.3,
nwisco.01.96701447,1967-05-23,USGS-09085000,Not determined,Routine sample,7.3,
nwisco.01.96701450,1967-06-01,USGS-09085000,Not determined,Routine sample,7.3,
nwisco.01.00402938,2004-07-12,USGS-09073300,"Stable, normal stage",Routine sample,7.3,
nwisco.01.96400625,1963-11-01,USGS-09085000,Not determined,Routine sample,7.3,
nwisco.01.97502297,1975-04-24,USGS-392404107070900,Not determined,Routine sample,7.3,Valley-Fill Deposits
nwisco.01.96300453,1963-03-01,USGS-09085000,Not determined,Routine sample,7.3,
nwisco.01.96300456,1963-04-01,USGS-09085000,Not determined,Routine sample,7.3,
nwisco.01.96300460,1963-05-07,USGS-09085000,Not determined,Routine sample,7.3,
nwisco.01.96000822,1960-06-16,USGS-09085000,Not determined,Routine sample,7.4,
nwisco.01.96100727,1960-11-02,USGS-09085000,Not determined,Routine sample,7.4,
nwisco.01.96200491,1962-06-01,USGS-09085000,Not determined,Routine sample,7.4,
nwisco.01.96200494,1962-07-01,USGS-09085000,Not determined,Routine sample,7.4,
nwisco.01.96300451,1963-02-01,USGS-09085000,Not determined,Routine sample,7.4,
nwisco.01.96300459,1963-05-05,USGS-09085000,Not determined,Routine sample,7.4,
nwisco.01.97502333,1975-04-18,USGS-392828107161301,Not determined,Routine sample,7.4,Pennsylvanian System
nwisco.01.96701446,1967-05-18,USGS-09085000,Not determined,Routine sample,7.4,
nwisco.01.96701455,1967-06-18,USGS-09085000,Not determined,Routine sample,7.4,
nwisco.01.96701464,1967-08-15,USGS-09085000,Not determined,Routine sample,7.4,
nwisco.01.99900875,1999-01-22,USGS-09073300,"Stable, normal stage",Routine sample,7.4,
nwisco.01.96701454,1967-06-11,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.97001504,1969-11-21,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.99801432,1998-03-12,USGS-09073400,"Stable, low stage",Routine sample,7.5,
nwisco.01.96300469,1963-08-06,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96300465,1963-07-15,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96300461,1963-06-01,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96300458,1963-05-01,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96000828,1960-07-21,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96000798,1959-10-02,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96500882,1965-06-10,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.96701443,1967-05-01,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.99704018,1997-09-08,USGS-09073300,"Stable, normal stage",Routine sample,7.5,
nwisco.01.96500881,1965-06-01,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.95900264,1959-05-10,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.99903648,1999-08-18,USGS-09073300,"Stable, normal stage",Routine sample,7.5,
nwisco.01.96701427,1966-12-06,USGS-09085000,Not determined,Routine sample,7.5,
nwisco.01.01004469,2010-08-03,USGS-09073400,"Stable, normal stage",Routine sample,7.6,
nwisco.01.98002396,1980-06-02,USGS-09085000,Not determined,Routine sample,7.6,
nwisco.01.96701467,1967-09-01,USGS-09085000,Not determined,Routine sample,7.6,
nwisco.01.96500877,1965-04-21,USGS-09085000,Not determined,Routine sample,7.6,
nwisco.01.96300454,1963-03-22,USGS-09085000,Not determined,Routine sample,7.6,
nwisco.01.97001506,1969-12-23,USGS-09085000,Not determined,Routine sample,7.6,
nwisco.01.00301908,2003-04-23,USGS-09073300,"Stable, normal stage",Snowmelt,7.6,
nwisco.01.96200501,1962-09-15,USGS-09085000,Not determined,Routine sample,7.6,
nwisco.01.96200498,1962-08-01,USGS-09085000,Not determined,Routine sample,7.6,
nwisco.01.96601003,1966-05-08,USGS-09085000,Not determined,Routine sample,7.6,
nwisco.01.97502315,1975-04-10,USGS-392557107085100,Not determined,Routine sample,7.6,Quaternary System
nwisco.01.96400631,1964-03-01,USGS-09085000,Not determined,Routine sample,7.6,
nwisco.01.99802216,1998-05-11,USGS-09073300,"Stable, normal stage",Snowmelt,7.6,
nwisco.01.96000833,1960-08-18,USGS-09085000,Not determined,Routine sample,7.6,
nwisco.01.97603398,1976-04-13,USGS-391220106573800,Not determined,Routine sample,7.6,
nwisco.01.96000831,1960-08-04,USGS-09085000,Not determined,Routine sample,7.6,
nwisco.01.96000818,1960-05-25,USGS-09085000,Not determined,Routine sample,7.6,
nwisco.01.99803526,1998-08-19,USGS-09073300,"Stable, normal stage",Routine sample,7.7,
nwisco.01.99803066,1998-07-30,USGS-09073300,"Stable, normal stage",Routine sample,7.7,
nwisco.01.96300448,1962-12-01,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.96600983,1965-10-01,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.96600988,1965-12-01,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.96600998,1966-04-01,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.96601013,1966-07-01,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.96601019,1966-08-07,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.99900296,1998-10-21,USGS-09073300,"Stable, normal stage",Routine sample,7.7,
nwisco.01.96000805,1960-04-16,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.00103301,2001-05-30,USGS-09073300,Peak stage,Snowmelt,7.7,
nwisco.01.97905901,1978-11-28,USGS-391740106550701,Not determined,Routine sample,7.7,
nwisco.01.95900269,1959-08-01,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.96701430,1967-01-01,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.96701437,1967-03-01,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.99900874,1999-01-21,USGS-09085000,"Stable, normal stage",Routine sample,7.7,
nwisco.01.97001502,1969-10-28,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.97001519,1970-05-21,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.98002393,1980-05-13,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.97704825,1977-01-04,USGS-391345106550000,Not determined,Routine sample,7.7,
nwisco.01.98102619,1981-04-17,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.96500869,1964-11-01,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.96500895,1965-09-01,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.01202581,2012-06-18,USGS-09081000,"Stable, normal stage",Routine sample,7.8,
nwisco.01.97704816,1977-01-04,USGS-391220106573800,Not determined,Routine sample,7.8,
nwisco.01.96000838,1960-09-15,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.96400627,1963-12-01,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.96400629,1964-01-01,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.00400284,2003-10-21,USGS-09073300,"Stable, low stage",Routine sample,7.8,
nwisco.01.96600990,1966-01-01,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.96200500,1962-09-01,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.96300446,1962-11-01,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.99801013,1998-01-27,USGS-09073300,"Stable, normal stage",Routine sample,7.8,
nwisco.01.96500871,1965-01-01,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.96500874,1965-03-24,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.00201669,2002-03-06,USGS-09073300,"Stable, low stage",Under ice cover,7.8,
nwisco.01.00500536,2004-11-22,USGS-09073300,"Stable, normal stage",Routine sample,7.8,
nwisco.01.96701468,1967-09-16,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.98102625,1981-05-30,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.95900267,1959-06-26,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.95900268,1959-07-17,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.96100736,1961-05-17,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.96300450,1963-01-01,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.96300463,1963-06-26,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.96701423,1966-11-15,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.96701431,1967-01-19,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.96701432,1967-01-20,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.96701440,1967-04-01,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.96701441,1967-04-08,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.98002398,1980-06-13,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.98002390,1980-04-28,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.99901529,1999-04-20,USGS-09073300,"Stable, normal stage",Routine sample,7.9,
nwisco.01.99700672,1996-12-18,USGS-09073300,"Stable, normal stage",Routine sample,7.9,
nwisco.01.97001510,1970-01-27,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.00001222,2000-01-26,USGS-09073300,"Stable, low stage",Under ice cover,7.9,
nwisco.01.00303468,2003-07-22,USGS-09073300,"Stable, low stage",Routine sample,7.9,
nwisco.01.97502307,1975-04-10,USGS-392502107090600,Not determined,Routine sample,7.9,"Alluvium, Flood Plain"
nwisco.01.00101227,2001-02-07,USGS-09073300,"Stable, low stage",Under ice cover,7.9,
nwisco.01.00105741,2001-08-28,USGS-09073300,"Stable, normal stage",Routine sample,7.9,
nwisco.01.00204202,2002-07-29,USGS-09073300,"Stable, low stage",Drought,7.9,
nwisco.01.01401479,2014-04-23,USGS-09085000,"Stable, normal stage",Routine sample,7.9,
nwisco.01.95900271,1959-09-03,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.99701966,1997-05-23,USGS-09085000,Falling stage,Snowmelt,8.0,
nwisco.01.96400630,1964-02-01,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.97502331,1975-04-22,USGS-392814107145100,Not determined,Routine sample,8.0,Quaternary System
nwisco.01.96000802,1959-11-05,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.96000800,1959-10-25,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.99400988,1994-03-21,USGS-09085000,"Stable, normal stage",Routine sample,8.0,
nwisco.01.96701433,1967-02-01,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.97102029,1970-11-24,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.96601010,1966-06-11,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.96601002,1966-05-07,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.97001512,1970-02-24,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.00002245,2000-05-10,USGS-09073300,"Stable, high stage",Snowmelt,8.0,
nwisco.01.99701139,1997-03-06,USGS-09073300,"Stable, normal stage",Routine sample,8.0,
nwisco.01.98102629,1981-06-26,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.97704818,1977-01-03,USGS-391239106501900,Not determined,Routine sample,8.0,
nwisco.01.00300086,2002-10-08,USGS-09073300,"Stable, low stage",Routine sample,8.0,
nwisco.01.96701460,1967-07-20,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.95900263,1958-11-12,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98002394,1980-05-23,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.99903651,1999-08-19,USGS-09085000,"Stable, normal stage",Routine sample,8.0,
nwisco.01.01001659,2010-04-13,USGS-09073400,"Stable, normal stage",Routine sample,8.0,
nwisco.01.01702722,2017-07-13,USGS-09081000,"Stable, high stage",Routine sample,8.0,
nwisco.01.01603165,2016-07-26,USGS-09081000,"Stable, normal stage",Routine sample,8.0,
nwisco.01.01602560,2016-06-27,USGS-09081000,"Stable, normal stage",Routine sample,8.0,
nwisco.01.01301934,2013-05-16,USGS-09085000,Rising stage,Routine sample,8.0,
nwisco.01.01902006,2019-07-01,USGS-09085000,"Stable, high stage",Routine sample,8.1,
nwisco.01.00800742,2008-01-30,USGS-09081000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.97603399,1976-08-23,USGS-391220106573800,Not determined,Routine sample,8.1,
nwisco.01.96000836,1960-09-01,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.00402289,2004-05-25,USGS-09081000,"Stable, normal stage",Snowmelt,8.1,
nwisco.01.99802437,1998-06-01,USGS-09081000,Rising stage,Snowmelt,8.1,
nwisco.01.96100733,1961-03-23,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.96100746,1961-06-27,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.97001516,1970-04-22,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.99802565,1998-06-09,USGS-09085000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.00602519,2006-08-16,USGS-09081000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.99803065,1998-07-30,USGS-09081000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.99704020,1997-09-10,USGS-09085000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.99504000,1995-08-22,USGS-09085000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.00601482,2006-05-25,USGS-09085000,Falling stage,Routine sample,8.1,
nwisco.01.96400636,1964-05-01,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.96400645,1964-07-01,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.97502299,1975-04-23,USGS-392428107064500,Not determined,Routine sample,8.1,Pennsylvanian System
nwisco.01.00403985,2004-09-08,USGS-09081000,"Stable, low stage",Routine sample,8.1,
nwisco.01.00205225,2002-09-04,USGS-09081000,"Stable, low stage",Drought,8.1,
nwisco.01.99501187,1995-03-21,USGS-09085000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.98002377,1980-02-04,USGS-09085000,Not determined,Routine sample,8.1,
